datetime,count
2011/1/20 0:00,107
2011/1/20 1:00,78
2011/1/20 2:00,78
2011/1/20 3:00,82
2011/1/20 4:00,82
2011/1/20 5:00,116
2011/1/20 6:00,94
2011/1/20 7:00,94
2011/1/20 8:00,94
2011/1/20 9:00,98
2011/1/20 10:00,120
2011/1/20 11:00,99
2011/1/20 12:00,115
2011/1/20 13:00,100
2011/1/20 14:00,100
2011/1/20 15:00,115
2011/1/20 16:00,102
2011/1/20 17:00,100
2011/1/20 18:00,87
2011/1/20 19:00,107
2011/1/20 20:00,106
2011/1/20 21:00,119
2011/1/20 22:00,99
2011/1/20 23:00,99
2011/1/21 0:00,121
2011/1/21 1:00,121
2011/1/21 2:00,79
2011/1/21 3:00,68
2011/1/21 4:00,86
2011/1/21 5:00,114
2011/1/21 6:00,94
2011/1/21 7:00,79
2011/1/21 8:00,75
2011/1/21 9:00,79
2011/1/21 10:00,69
2011/1/21 11:00,83
2011/1/21 12:00,129
2011/1/21 13:00,64
2011/1/21 14:00,100
2011/1/21 15:00,105
2011/1/21 16:00,105
2011/1/21 17:00,58
2011/1/21 18:00,57
2011/1/21 19:00,57
2011/1/21 20:00,65
2011/1/21 21:00,83
2011/1/21 22:00,54
2011/1/21 23:00,83
2011/1/22 0:00,40
2011/1/22 1:00,43
2011/1/22 2:00,43
2011/1/22 3:00,43
2011/1/22 4:00,29
2011/1/22 6:00,39
2011/1/22 7:00,46
2011/1/22 8:00,46
2011/1/22 9:00,55
2011/1/22 10:00,43
2011/1/22 11:00,65
2011/1/22 12:00,65
2011/1/22 13:00,62
2011/1/22 14:00,56
2011/1/22 15:00,50
2011/1/22 16:00,50
2011/1/22 17:00,53
2011/1/22 18:00,62
2011/1/22 19:00,62
2011/1/22 20:00,40
2011/1/22 21:00,55
2011/1/22 22:00,34
2011/1/22 23:00,48
2011/1/23 0:00,48
2011/1/23 1:00,48
2011/1/23 2:00,19
2011/1/23 3:00,19
2011/1/23 5:00,55
2011/1/23 6:00,55
2011/1/23 7:00,24
2011/1/23 8:00,19
2011/1/23 9:00,26
2011/1/23 10:00,48
2011/1/23 11:00,64
2011/1/23 12:00,70
2011/1/23 13:00,64
2011/1/23 14:00,55
2011/1/23 15:00,55
2011/1/23 16:00,79
2011/1/23 17:00,74
2011/1/23 18:00,49
2011/1/23 19:00,49
2011/1/23 20:00,52
2011/1/23 21:00,52
2011/1/23 22:00,76
2011/1/23 23:00,55
2011/1/24 0:00,54
2011/1/24 1:00,49
2011/1/24 3:00,49
2011/1/24 4:00,56
2011/1/24 5:00,56
2011/1/24 6:00,56
2011/1/24 7:00,56
2011/1/24 8:00,58
2011/1/24 9:00,54
2011/1/24 10:00,70
2011/1/24 11:00,49
2011/1/24 12:00,64
2011/1/24 13:00,61
2011/1/24 14:00,47
2011/1/24 15:00,85
2011/1/24 16:00,59
2011/1/24 17:00,59
2011/1/24 18:00,65
2011/1/24 19:00,60
2011/1/24 20:00,65
2011/1/24 21:00,41
2011/1/24 22:00,49
2011/1/24 23:00,63
2011/1/25 0:00,71
2011/1/25 1:00,71
2011/1/25 2:00,59
2011/1/25 4:00,73
2011/1/25 5:00,73
2011/1/25 6:00,84
2011/1/25 7:00,78
2011/1/25 8:00,101
2011/1/25 9:00,86
2011/1/25 10:00,80
2011/1/25 11:00,100
2011/1/25 12:00,84
2011/1/25 13:00,83
2011/1/25 14:00,98
2011/1/25 15:00,133
2011/1/25 16:00,133
2011/1/25 17:00,114
2011/1/25 18:00,100
2011/1/25 19:00,82
2011/1/25 20:00,92
2011/1/25 21:00,92
2011/1/25 22:00,79
2011/1/25 23:00,86
2011/1/26 0:00,94
2011/1/26 1:00,80
2011/1/26 2:00,56
2011/1/26 5:00,57
2011/1/26 6:00,57
2011/1/26 7:00,61
2011/1/26 8:00,61
2011/1/26 9:00,61
2011/1/26 10:00,49
2011/1/26 11:00,46
2011/1/26 12:00,46
2011/1/26 13:00,46
2011/1/26 14:00,46
2011/1/26 15:00,44
2011/1/26 16:00,46
2011/1/26 17:00,44
2011/1/27 16:00,94
2011/1/27 17:00,74
2011/1/27 18:00,81
2011/1/27 19:00,81
2011/1/27 20:00,91
2011/1/27 21:00,91
2011/1/27 22:00,91
2011/1/27 23:00,78
2011/1/28 0:00,105
2011/1/28 1:00,105
2011/1/28 2:00,105
2011/1/28 3:00,105
2011/1/28 5:00,101
2011/1/28 6:00,99
2011/1/28 7:00,94
2011/1/28 8:00,94
2011/1/28 9:00,63
2011/1/28 10:00,63
2011/1/28 11:00,49
2011/1/28 12:00,49
2011/1/28 13:00,49
2011/1/28 14:00,53
2011/1/28 15:00,86
2011/1/28 16:00,59
2011/1/28 17:00,88
2011/1/28 18:00,110
2011/1/28 19:00,112
2011/1/28 20:00,121
2011/1/28 21:00,105
2011/1/28 22:00,92
2011/1/28 23:00,116
2011/1/29 0:00,41
2011/1/29 1:00,41
2011/1/29 2:00,41
2011/1/29 3:00,41
2011/1/29 4:00,27
2011/1/29 6:00,30
2011/1/29 7:00,39
2011/1/29 8:00,48
2011/1/29 9:00,41
2011/1/29 10:00,46
2011/1/29 11:00,46
2011/1/29 12:00,54
2011/1/29 13:00,64
2011/1/29 14:00,60
2011/1/29 15:00,38
2011/1/29 16:00,48
2011/1/29 17:00,48
2011/1/29 18:00,38
2011/1/29 19:00,58
2011/1/29 20:00,42
2011/1/29 21:00,42
2011/1/29 22:00,38
2011/1/29 23:00,38
2011/1/30 0:00,37
2011/1/30 1:00,33
2011/1/30 2:00,38
2011/1/30 3:00,30
2011/1/30 4:00,30
2011/1/30 5:00,42
2011/1/30 7:00,42
2011/1/30 8:00,52
2011/1/30 9:00,63
2011/1/30 10:00,58
2011/1/30 11:00,25
2011/1/30 12:00,81
2011/1/30 13:00,58
2011/1/30 14:00,58
2011/1/30 15:00,77
2011/1/30 16:00,77
2011/1/30 17:00,71
2011/1/30 18:00,39
2011/1/30 19:00,39
2011/1/30 20:00,54
2011/1/30 21:00,66
2011/1/30 22:00,76
2011/1/30 23:00,62
2011/1/31 0:00,99
2011/1/31 1:00,79
2011/1/31 2:00,79
2011/1/31 3:00,79
2011/1/31 4:00,89
2011/1/31 5:00,58
2011/1/31 6:00,59
2011/1/31 7:00,63
2011/1/31 8:00,69
2011/1/31 9:00,69
2011/1/31 10:00,69
2011/1/31 11:00,69
2011/1/31 12:00,85
2011/1/31 13:00,80
2011/1/31 14:00,83
2011/1/31 15:00,75
2011/1/31 16:00,66
2011/1/31 17:00,69
2011/1/31 18:00,72
2011/1/31 19:00,97
2011/1/31 20:00,41
2011/1/31 21:00,50
2011/1/31 22:00,75
2011/1/31 23:00,72
2011/2/20 0:00,113
2011/2/20 1:00,99
2011/2/20 2:00,99
2011/2/20 3:00,71
2011/2/20 4:00,71
2011/2/20 6:00,63
2011/2/20 7:00,38
2011/2/20 8:00,53
2011/2/20 9:00,67
2011/2/20 10:00,90
2011/2/20 11:00,107
2011/2/20 12:00,128
2011/2/20 13:00,161
2011/2/20 14:00,214
2011/2/20 15:00,215
2011/2/20 16:00,188
2011/2/20 17:00,160
2011/2/20 18:00,130
2011/2/20 19:00,130
2011/2/20 20:00,148
2011/2/20 21:00,112
2011/2/20 22:00,134
2011/2/20 23:00,85
2011/2/21 0:00,92
2011/2/21 1:00,92
2011/2/21 2:00,92
2011/2/21 3:00,92
2011/2/21 4:00,69
2011/2/21 5:00,71
2011/2/21 6:00,123
2011/2/21 7:00,123
2011/2/21 8:00,124
2011/2/21 9:00,124
2011/2/21 10:00,124
2011/2/21 11:00,124
2011/2/21 12:00,117
