,year,month,day,time,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
0,2011,1,1,0,1,0,0,1,0.22448979591836735,0.30506768094865194,0.81,0.0,3,13,16
1,2011,1,1,1,1,0,0,1,0.2040816326530612,0.2880635417831972,0.8,0.0,8,32,40
2,2011,1,1,2,1,0,0,1,0.2040816326530612,0.2880635417831972,0.8,0.0,5,27,32
3,2011,1,1,3,1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,3,10,13
4,2011,1,1,4,1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,0,1,1
5,2011,1,1,5,1,0,0,2,0.22448979591836735,0.2711712719543573,0.75,0.10532502644880687,0,1,1
6,2011,1,1,6,1,0,0,1,0.2040816326530612,0.2880635417831972,0.8,0.0,2,0,2
7,2011,1,1,7,1,0,0,1,0.18367346938775508,0.2711712719543573,0.86,0.0,1,2,3
8,2011,1,1,8,1,0,0,1,0.22448979591836735,0.30506768094865194,0.75,0.0,1,7,8
9,2011,1,1,9,1,0,0,1,0.3061224489795918,0.37286049893724127,0.76,0.0,8,6,14
10,2011,1,1,10,1,0,0,1,0.3673469387755102,0.42364917776037586,0.76,0.2982249911837311,12,24,36
11,2011,1,1,11,1,0,0,1,0.3469387755102041,0.35585635977178653,0.81,0.33337251675091106,26,30,56
12,2011,1,1,12,1,0,0,1,0.4081632653061224,0.45754558675467055,0.77,0.33337251675091106,29,55,84
13,2011,1,1,13,1,0,0,2,0.4489795918367347,0.4914419957489652,0.72,0.35088750440813454,47,47,94
14,2011,1,1,14,1,0,0,2,0.4489795918367347,0.4914419957489652,0.72,0.33337251675091106,35,71,106
15,2011,1,1,15,1,0,0,2,0.42857142857142855,0.47454972592012523,0.77,0.35088750440813454,40,70,110
16,2011,1,1,16,1,0,0,2,0.4081632653061224,0.45754558675467055,0.82,0.35088750440813454,41,52,93
17,2011,1,1,17,1,0,0,2,0.42857142857142855,0.47454972592012523,0.82,0.33337251675091106,15,52,67
18,2011,1,1,18,1,0,0,3,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,9,26,35
19,2011,1,1,19,1,0,0,3,0.4081632653061224,0.45754558675467055,0.88,0.2982249911837311,6,31,37
20,2011,1,1,20,1,0,0,2,0.3877551020408163,0.44065331692583054,0.87,0.2982249911837311,11,25,36
21,2011,1,1,21,1,0,0,2,0.3877551020408163,0.44065331692583054,0.87,0.22804749030210414,3,31,34
22,2011,1,1,22,1,0,0,2,0.3877551020408163,0.44065331692583054,0.94,0.2631950158692841,11,17,28
23,2011,1,1,23,1,0,0,2,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,15,24,39
24,2011,1,2,0,1,0,0,2,0.4489795918367347,0.4914419957489652,0.88,0.35088750440813454,4,13,17
25,2011,1,2,1,1,0,0,2,0.42857142857142855,0.47454972592012523,0.94,0.2982249911837311,1,16,17
26,2011,1,2,2,1,0,0,2,0.4081632653061224,0.45754558675467055,1.0,0.33337251675091106,1,8,9
27,2011,1,2,3,1,0,0,2,0.4489795918367347,0.4914419957489652,0.94,0.22804749030210414,2,4,6
28,2011,1,2,4,1,0,0,2,0.4489795918367347,0.4914419957489652,0.94,0.22804749030210414,2,1,3
29,2011,1,2,6,1,0,0,3,0.4081632653061224,0.45754558675467055,0.77,0.35088750440813454,0,2,2
30,2011,1,2,7,1,0,0,2,0.3877551020408163,0.44065331692583054,0.76,0.22804749030210414,0,1,1
31,2011,1,2,8,1,0,0,3,0.3877551020408163,0.44065331692583054,0.71,0.2631950158692841,0,8,8
32,2011,1,2,9,1,0,0,2,0.3673469387755102,0.42364917776037586,0.76,0.2631950158692841,1,19,20
33,2011,1,2,10,1,0,0,2,0.3469387755102041,0.37286049893724127,0.81,0.2631950158692841,7,46,53
34,2011,1,2,11,1,0,0,2,0.3469387755102041,0.35585635977178653,0.71,0.2982249911837311,16,54,70
35,2011,1,2,12,1,0,0,2,0.3469387755102041,0.35585635977178653,0.66,0.35088750440813454,20,73,93
36,2011,1,2,13,1,0,0,2,0.3469387755102041,0.37286049893724127,0.66,0.15786998942047728,11,64,75
37,2011,1,2,14,1,0,0,3,0.3469387755102041,0.37286049893724127,0.76,0.22804749030210414,4,55,59
38,2011,1,2,15,1,0,0,3,0.32653061224489793,0.35585635977178653,0.81,0.19301751498765723,19,55,74
39,2011,1,2,16,1,0,0,3,0.32653061224489793,0.35585635977178653,0.71,0.19301751498765723,9,67,76
40,2011,1,2,17,1,0,0,1,0.32653061224489793,0.35585635977178653,0.57,0.22804749030210414,7,58,65
41,2011,1,2,18,1,0,0,2,0.3469387755102041,0.35585635977178653,0.46,0.38603502997531447,10,43,53
42,2011,1,2,19,1,0,0,1,0.3061224489795918,0.30506768094865194,0.42,0.5263900317385682,1,29,30
43,2011,1,2,20,1,0,0,1,0.28571428571428575,0.2880635417831972,0.39,0.42106500528976143,5,17,22
44,2011,1,2,21,1,0,0,1,0.24489795918367346,0.23727486296006264,0.44,0.38603502997531447,11,20,31
45,2011,1,2,22,1,0,0,1,0.22448979591836735,0.2202707237946079,0.44,0.35088750440813454,0,9,9
46,2011,1,2,23,1,0,0,1,0.2040816326530612,0.23727486296006264,0.47,0.19301751498765723,0,8,8
47,2011,1,3,0,1,0,1,1,0.2040816326530612,0.20337845396576798,0.44,0.42106500528976143,0,5,5
48,2011,1,3,1,1,0,1,1,0.18367346938775508,0.16948204497147334,0.44,0.4912425061713883,0,2,2
49,2011,1,3,4,1,0,1,1,0.14285714285714285,0.13558563597717865,0.47,0.4562125308569414,0,1,1
50,2011,1,3,5,1,0,1,1,0.14285714285714285,0.13558563597717865,0.47,0.33337251675091106,0,3,3
51,2011,1,3,6,1,0,1,1,0.12244897959183673,0.10168922698288399,0.5,0.4562125308569414,0,30,30
52,2011,1,3,7,1,0,1,1,0.12244897959183673,0.13558563597717865,0.5,0.22804749030210414,1,63,64
53,2011,1,3,8,1,0,1,1,0.12244897959183673,0.1185814968117239,0.5,0.33337251675091106,1,153,154
54,2011,1,3,9,1,0,1,1,0.14285714285714285,0.13558563597717865,0.43,0.4562125308569414,7,81,88
55,2011,1,3,10,1,0,1,1,0.16326530612244897,0.16948204497147334,0.43,0.2982249911837311,11,33,44
56,2011,1,3,11,1,0,1,1,0.18367346938775508,0.18637431480031325,0.4,0.38603502997531447,10,41,51
57,2011,1,3,12,1,0,1,1,0.2040816326530612,0.2202707237946079,0.35,0.35088750440813454,13,48,61
58,2011,1,3,13,1,0,1,1,0.22448979591836735,0.2202707237946079,0.35,0.33337251675091106,8,53,61
59,2011,1,3,14,1,0,1,1,0.24489795918367346,0.25416713278890257,0.3,0.33337251675091106,11,66,77
60,2011,1,3,15,1,0,1,1,0.24489795918367346,0.25416713278890257,0.3,0.2982249911837311,14,58,72
61,2011,1,3,16,1,0,1,1,0.24489795918367346,0.25416713278890257,0.3,0.2982249911837311,9,67,76
62,2011,1,3,17,1,0,1,1,0.22448979591836735,0.23727486296006264,0.3,0.2631950158692841,11,146,157
63,2011,1,3,18,1,0,1,1,0.22448979591836735,0.2711712719543573,0.32,0.12284001410603033,9,148,157
